City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Marystown,CA,2022-01-23 21:04:26,47.1666,-55.1483,29.86,100,86,13.65
265,Praia Da Vitoria,PT,2022-01-23 21:04:26,38.7333,-27.0667,56.75,82,69,7.45
266,High Prairie,CA,2022-01-23 21:04:26,55.4334,-116.4858,33.04,98,100,13.42
267,Bunia,CD,2022-01-23 21:00:21,1.5667,30.25,67.24,53,13,2.39
268,Saint-Georges,GD,2022-01-23 21:05:27,12.0564,-61.7485,77.88,73,12,10.2
269,Auki,SB,2022-01-23 21:05:28,-8.7676,160.7034,82.92,79,100,6.49
270,Itaituba,BR,2022-01-23 21:05:28,-4.2761,-55.9836,77.32,97,99,0.96
271,Nemuro,JP,2022-01-23 21:05:29,43.3236,145.575,26.13,65,100,5.08
272,Nizwa,OM,2022-01-23 21:05:29,22.9333,57.5333,61.02,41,2,2.75
273,Leningradskiy,RU,2022-01-23 21:05:29,69.3833,178.4167,-16.35,94,100,6.17
274,San Rafael Del Sur,NI,2022-01-23 21:05:30,11.8485,-86.4384,91.85,33,10,17.94
275,Esil,KZ,2022-01-23 21:05:30,51.9556,66.4042,-4.47,93,99,4.99
276,Rantepao,ID,2022-01-23 21:05:31,-2.9701,119.8978,63.75,84,63,3.53
277,Ucluelet,CA,2022-01-23 21:05:31,48.9329,-125.5528,43.09,93,59,2.24
278,Nosy Varika,MG,2022-01-23 21:05:31,-20.5833,48.5333,78.19,89,96,11.03
279,Tupelo,US,2022-01-23 21:05:32,34.2576,-88.7034,55.69,31,0,6.91
280,Tilichiki,RU,2022-01-23 21:05:32,60.4667,166.1,-20.13,86,74,7.2
281,Lasa,IT,2022-01-23 21:05:33,46.6166,10.7002,31.37,62,3,5.75
282,Buston,TJ,2022-01-23 21:05:33,40.2342,69.6948,32.18,86,40,0.0
283,Sao Filipe,CV,2022-01-23 21:05:33,14.8961,-24.4956,74.97,71,100,12.75
284,Olafsvik,IS,2022-01-23 21:05:34,64.8945,-23.7142,27.64,60,100,22.73
285,Tiarei,PF,2022-01-23 21:05:34,-17.5333,-149.3333,86.02,78,55,14.65
286,Ozark,US,2022-01-23 21:05:35,37.0209,-93.206,51.93,51,37,11.9
287,Meulaboh,ID,2022-01-23 21:05:35,4.1363,96.1285,75.07,90,100,3.91
288,Tamandare,BR,2022-01-23 21:05:35,-8.7597,-35.1047,80.69,69,33,10.74
289,Boyolangu,ID,2022-01-23 21:05:36,-8.1181,111.8935,74.37,90,98,2.37
290,Crossville,US,2022-01-23 21:05:36,35.949,-85.0269,45.25,51,22,7.0
291,Kitgum,UG,2022-01-23 21:05:37,3.2783,32.8867,76.08,33,15,6.06
